time,0.xpos,0.ypos,0.xvel,0.yvel,0.mass,1.xpos,1.ypos,1.xvel,1.yvel,1.mass,2.xpos,2.ypos,2.xvel,2.yvel,2.mass,time_limit,
680.000000,7.621930,0.004494,0.022417,0.000020,5999999999999999899336704.000000,384399373.540000,679999.630599,-1.842529,999.998370,72999999999999997902848.000000,12850711.651926,1809209.553071,7450.399936,2546.887117,20000.000000,1000000000.000000,
690.000000,7.847753,0.004696,0.022747,0.000020,5999999999999999899336704.000000,384399354.979230,689999.614061,-1.869625,999.998322,72999999999999997902848.000000,12925098.417389,1834661.873676,7427.000057,2543.579114,20000.000000,1000000000.000000,
700.000000,8.076872,0.004903,0.023077,0.000021,5999999999999999899336704.000000,384399336.147501,699999.597037,-1.896721,999.998273,72999999999999997902848.000000,12999252.581421,1860081.177771,7403.878692,2540.283838,20000.000000,1000000000.000000,
710.000000,8.309288,0.005116,0.023406,0.000022,5999999999999999899336704.000000,384399317.044811,709999.579519,-1.923817,999.998223,72999999999999997902848.000000,13073176.900694,1885467.593289,7381.030174,2537.001418,20000.000000,1000000000.000000,
720.000000,8.545001,0.005335,0.023736,0.000022,5999999999999999899336704.000000,384399297.671162,719999.561501,-1.950913,999.998173,72999999999999997902848.000000,13146874.076030,1910821.249372,7358.449000,2533.731969,20000.000000,1000000000.000000,
730.000000,8.784010,0.005560,0.024066,0.000023,5999999999999999899336704.000000,384399278.026553,729999.542975,-1.978009,999.998122,72999999999999997902848.000000,13220346.753993,1936142.276248,7336.129821,2530.475593,20000.000000,1000000000.000000,
740.000000,9.026316,0.005792,0.024395,0.000023,5999999999999999899336704.000000,384399258.110984,739999.523935,-2.005105,999.998070,72999999999999997902848.000000,13293597.528421,1961430.805120,7314.067439,2527.232383,20000.000000,1000000000.000000,
750.000000,9.271919,0.006030,0.024725,0.000024,5999999999999999899336704.000000,384399237.924455,749999.504373,-2.032201,999.998017,72999999999999997902848.000000,13366628.941903,1986686.968057,7292.256802,2524.002419,20000.000000,1000000000.000000,
760.000000,9.520819,0.006275,0.025055,0.000025,5999999999999999899336704.000000,384399217.466966,759999.484283,-2.059297,999.997964,72999999999999997902848.000000,13439443.487206,2011910.897893,7270.692996,2520.785773,20000.000000,1000000000.000000,
770.000000,9.773015,0.006526,0.025384,0.000025,5999999999999999899336704.000000,384399196.738518,769999.463656,-2.086393,999.997910,72999999999999997902848.000000,13512043.608643,2037102.728129,7249.371243,2517.582509,20000.000000,1000000000.000000,
780.000000,10.028508,0.006783,0.025714,0.000026,5999999999999999899336704.000000,384399175.739109,779999.442487,-2.113489,999.997856,72999999999999997902848.000000,13584431.703403,2062262.592848,7228.286896,2514.392678,20000.000000,1000000000.000000,
