time,0.xpos,0.ypos,0.xvel,0.yvel,0.mass,1.xpos,1.ypos,1.xvel,1.yvel,1.mass,time_limit,
7960.000000,-373448.151429,-70790.035107,-180.061743,-42.055264,5970000000000000281018368.000000,-24220247.855600,-36022624.777001,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
7970.000000,-375248.841437,-71210.697191,-180.076236,-42.077121,5970000000000000281018368.000000,-24319843.231744,-36192349.815500,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
7980.000000,-377049.675694,-71631.576879,-180.090593,-42.098785,5970000000000000281018368.000000,-24419438.607888,-36362074.854000,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
7990.000000,-378850.652850,-72052.672264,-180.104816,-42.120260,5970000000000000281018368.000000,-24519033.984032,-36531799.892499,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8000.000000,-380651.771575,-72473.981463,-180.118907,-42.141549,5970000000000000281018368.000000,-24618629.360176,-36701524.930999,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8010.000000,-382453.030554,-72895.502620,-180.132867,-42.162652,5970000000000000281018368.000000,-24718224.736320,-36871249.969498,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8020.000000,-384254.428494,-73317.233900,-180.146699,-42.183574,5970000000000000281018368.000000,-24817820.112464,-37040975.007997,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8030.000000,-386055.964118,-73739.173493,-180.160404,-42.204315,5970000000000000281018368.000000,-24917415.488609,-37210700.046497,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8040.000000,-387857.636166,-74161.319612,-180.173984,-42.224879,5970000000000000281018368.000000,-25017010.864753,-37380425.084996,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8050.000000,-389659.443395,-74583.670494,-180.187441,-42.245268,5970000000000000281018368.000000,-25116606.240897,-37550150.123496,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8060.000000,-391461.384581,-75006.224396,-180.200776,-42.265484,5970000000000000281018368.000000,-25216201.617041,-37719875.161995,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8070.000000,-393263.458515,-75428.979600,-180.213991,-42.285529,5970000000000000281018368.000000,-25315796.993185,-37889600.200494,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8080.000000,-395065.664003,-75851.934408,-180.227087,-42.305405,5970000000000000281018368.000000,-25415392.369329,-38059325.238994,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8090.000000,-396867.999869,-76275.087143,-180.240067,-42.325114,5970000000000000281018368.000000,-25514987.745473,-38229050.277493,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8100.000000,-398670.464952,-76698.436149,-180.252931,-42.344660,5970000000000000281018368.000000,-25614583.121617,-38398775.315993,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8110.000000,-400473.058107,-77121.979793,-180.265681,-42.364042,5970000000000000281018368.000000,-25714178.497761,-38568500.354492,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8120.000000,-402275.778202,-77545.716459,-180.278319,-42.383264,5970000000000000281018368.000000,-25813773.873906,-38738225.392992,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8130.000000,-404078.624122,-77969.644553,-180.290846,-42.402328,5970000000000000281018368.000000,-25913369.250050,-38907950.431491,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8140.000000,-405881.594766,-78393.762501,-180.303264,-42.421235,5970000000000000281018368.000000,-26012964.626194,-39077675.469990,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8150.000000,-407684.689047,-78818.068746,-180.315574,-42.439988,5970000000000000281018368.000000,-26112560.002338,-39247400.508490,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8160.000000,-409487.905893,-79242.561752,-180.327777,-42.458588,5970000000000000281018368.000000,-26212155.378482,-39417125.546989,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8170.000000,-411291.244244,-79667.240002,-180.339875,-42.477037,5970000000000000281018368.000000,-26311750.754626,-39586850.585489,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8180.000000,-413094.703056,-80092.101995,-180.351870,-42.495337,5970000000000000281018368.000000,-26411346.130770,-39756575.623988,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8190.000000,-414898.281296,-80517.146251,-180.363761,-42.513490,5970000000000000281018368.000000,-26510941.506914,-39926300.662487,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8200.000000,-416701.977946,-80942.371306,-180.375552,-42.531497,5970000000000000281018368.000000,-26610536.883059,-40096025.700987,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8210.000000,-418505.792001,-81367.775713,-180.387242,-42.549361,5970000000000000281018368.000000,-26710132.259203,-40265750.739486,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8220.000000,-420309.722467,-81793.358045,-180.398834,-42.567082,5970000000000000281018368.000000,-26809727.635347,-40435475.777986,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
8230.000000,-422113.768364,-82219.116888,-180.410329,-42.584663,5970000000000000281018368.000000,-26909323.011491,-40605200.816485,-9959.537614,-16972.503850,73477000000000000786432.000000,5000000.000000,
