time,0.xpos,0.ypos,0.zpos,0.xvel,0.yvel,0.zvel,0.mass,1.xpos,1.ypos,1.zpos,1.xvel,1.yvel,1.zvel,1.mass,time_limit,
96000.000000,14898.181585,18922.392335,-146061.495567,0.452572,0.383728,-2.976805,5970000000000000281018368.000000,118789524.013448,48462557.232372,-384000000.000000,1213.228590,-31.177907,0.000000,73477000000000000786432.000000,5000000000.000000,
97200.000000,15447.611889,19385.442922,-149654.082078,0.463161,0.388020,-3.010821,5970000000000000281018368.000000,120244882.847968,48424934.411519,-384000000.000000,1212.368169,-31.526568,0.000000,73477000000000000786432.000000,5000000000.000000,
98400.000000,16009.807264,19853.632887,-153287.423260,0.473847,0.392294,-3.044730,5970000000000000281018368.000000,121699204.521627,48386894.016725,-384000000.000000,1211.500004,-31.873862,0.000000,73477000000000000786432.000000,5000000000.000000,
99600.000000,16584.881413,20326.941984,-156961.390513,0.484626,0.396552,-3.078531,5970000000000000281018368.000000,123152479.795912,48348437.692836,-384000000.000000,1210.624185,-32.219782,0.000000,73477000000000000786432.000000,5000000000.000000,
100800.000000,17172.946714,20805.349854,-160675.854472,0.495498,0.400792,-3.112224,5970000000000000281018368.000000,124604699.540243,48309567.094045,-384000000.000000,1209.740802,-32.564319,0.000000,73477000000000000786432.000000,5000000000.000000,
102000.000000,17774.114213,21288.836028,-164430.685022,0.506463,0.405015,-3.145809,5970000000000000281018368.000000,126055854.732096,48270283.883602,-384000000.000000,1208.849946,-32.907466,0.000000,73477000000000000786432.000000,5000000000.000000,
103200.000000,18388.493625,21777.379925,-168225.751330,0.517518,0.409222,-3.179284,5970000000000000281018368.000000,127505936.457097,48230589.733524,-384000000.000000,1207.951706,-33.249217,0.000000,73477000000000000786432.000000,5000000000.000000,
104400.000000,19016.193335,22270.960862,-172060.921858,0.528663,0.413410,-3.212649,5970000000000000281018368.000000,128954935.909087,48190486.324304,-384000000.000000,1207.046173,-33.589564,0.000000,73477000000000000786432.000000,5000000000.000000,
105600.000000,19657.320393,22769.558057,-175936.064389,0.539897,0.417582,-3.245904,5970000000000000281018368.000000,130402844.390162,48149975.344628,-384000000.000000,1206.133436,-33.928500,0.000000,73477000000000000786432.000000,5000000000.000000,
106800.000000,20311.980518,23273.150628,-179851.046049,0.551218,0.421736,-3.279047,5970000000000000281018368.000000,131849653.310685,48109058.491085,-384000000.000000,1205.213587,-34.266019,0.000000,73477000000000000786432.000000,5000000000.000000,
