time,xpos,ypos,xvel,yvel,object_mass,time_limit,total_energy,
157.000000,1066900.612913,9156367.897800,6359.381398,-11033.046731,100000000000000004764729344.000000,1000000.000000,-642799999.999776,
158.000000,1073255.435986,9145295.823863,6350.250627,-11111.128869,100000000000000004764729344.000000,1000000.000000,-642799999.999771,
159.000000,1079601.085819,9134145.584323,6341.034811,-11189.378223,100000000000000004764729344.000000,1000000.000000,-642799999.999766,
160.000000,1085937.477045,9122917.011104,6331.733305,-11267.796514,100000000000000004764729344.000000,1000000.000000,-642799999.999762,
161.000000,1092264.523648,9111609.934403,6322.345457,-11346.385478,100000000000000004764729344.000000,1000000.000000,-642799999.999757,
162.000000,1098582.138956,9100224.182673,6312.870602,-11425.146868,100000000000000004764729344.000000,1000000.000000,-642799999.999751,
163.000000,1104890.235627,9088759.582602,6303.308070,-11504.082453,100000000000000004764729344.000000,1000000.000000,-642799999.999746,
164.000000,1111188.725644,9077215.959105,6293.657180,-11583.194021,100000000000000004764729344.000000,1000000.000000,-642799999.999740,
165.000000,1117477.520304,9065593.135298,6283.917240,-11662.483375,100000000000000004764729344.000000,1000000.000000,-642799999.999735,
166.000000,1123756.530208,9053890.932485,6274.087550,-11741.952338,100000000000000004764729344.000000,1000000.000000,-642799999.999729,
167.000000,1130025.665252,9042109.170140,6264.167400,-11821.602749,100000000000000004764729344.000000,1000000.000000,-642799999.999724,
168.000000,1136284.834614,9030247.665886,6254.156068,-11901.436466,100000000000000004764729344.000000,1000000.000000,-642799999.999718,
169.000000,1142533.946750,9018306.235480,6244.052823,-11981.455366,100000000000000004764729344.000000,1000000.000000,-642799999.999712,
170.000000,1148772.909377,9006284.692794,6233.856925,-12061.661345,100000000000000004764729344.000000,1000000.000000,-642799999.999705,
171.000000,1155001.629466,8994182.849793,6223.567622,-12142.056315,100000000000000004764729344.000000,1000000.000000,-642799999.999699,
172.000000,1161220.013232,8982000.516521,6213.184150,-12222.642212,100000000000000004764729344.000000,1000000.000000,-642799999.999693,
173.000000,1167427.966120,8969737.501076,6202.705737,-12303.420989,100000000000000004764729344.000000,1000000.000000,-642799999.999686,
174.000000,1173625.392797,8957393.609593,6192.131597,-12384.394619,100000000000000004764729344.000000,1000000.000000,-642799999.999680,
175.000000,1179812.197141,8944968.646223,6181.460936,-12465.565095,100000000000000004764729344.000000,1000000.000000,-642799999.999673,
176.000000,1185988.282225,8932462.413115,6170.692944,-12546.934433,100000000000000004764729344.000000,1000000.000000,-642799999.999666,
177.000000,1192153.550313,8919874.710391,6159.826804,-12628.504668,100000000000000004764729344.000000,1000000.000000,-642799999.999658,
178.000000,1198307.902839,8907205.336129,6148.861684,-12710.277856,100000000000000004764729344.000000,1000000.000000,-642799999.999651,
179.000000,1204451.240406,8894454.086337,6137.796741,-12792.256075,100000000000000004764729344.000000,1000000.000000,-642799999.999644,
180.000000,1210583.462762,8881620.754936,6126.631120,-12874.441426,100000000000000004764729344.000000,1000000.000000,-642799999.999636,
181.000000,1216704.468798,8868705.133734,6115.363955,-12956.836032,100000000000000004764729344.000000,1000000.000000,-642799999.999628,
182.000000,1222814.156529,8855707.012406,6103.994363,-13039.442037,100000000000000004764729344.000000,1000000.000000,-642799999.999620,
183.000000,1228912.423085,8842626.178470,6092.521452,-13122.261611,100000000000000004764729344.000000,1000000.000000,-642799999.999612,
184.000000,1234999.164693,8829462.417264,6080.944316,-13205.296945,100000000000000004764729344.000000,1000000.000000,-642799999.999604,
185.000000,1241074.276669,8816215.511922,6069.262036,-13288.550255,100000000000000004764729344.000000,1000000.000000,-642799999.999595,
186.000000,1247137.653405,8802885.243350,6057.473677,-13372.023780,100000000000000004764729344.000000,1000000.000000,-642799999.999587,
187.000000,1253189.188348,8789471.390202,6045.578293,-13455.719786,100000000000000004764729344.000000,1000000.000000,-642799999.999578,
188.000000,1259228.773995,8775973.728856,6033.574923,-13539.640561,100000000000000004764729344.000000,1000000.000000,-642799999.999569,
189.000000,1265256.301874,8762392.033386,6021.462592,-13623.788421,100000000000000004764729344.000000,1000000.000000,-642799999.999559,
190.000000,1271271.662529,8748726.075539,6009.240310,-13708.165707,100000000000000004764729344.000000,1000000.000000,-642799999.999550,
191.000000,1277274.745508,8734975.624708,5996.907072,-13792.774785,100000000000000004764729344.000000,1000000.000000,-642799999.999540,
192.000000,1283265.439348,8721140.447906,5984.461859,-13877.618050,100000000000000004764729344.000000,1000000.000000,-642799999.999530,
193.000000,1289243.631556,8707220.309739,5971.903636,-13962.697922,100000000000000004764729344.000000,1000000.000000,-642799999.999520,
194.000000,1295209.208599,8693214.972377,5959.231352,-14048.016851,100000000000000004764729344.000000,1000000.000000,-642799999.999510,
195.000000,1301162.055885,8679124.195527,5946.443941,-14133.577312,100000000000000004764729344.000000,1000000.000000,-642799999.999499,
196.000000,1307102.057746,8664947.736407,5933.540321,-14219.381811,100000000000000004764729344.000000,1000000.000000,-642799999.999488,
197.000000,1313029.097425,8650685.349715,5920.519393,-14305.432882,100000000000000004764729344.000000,1000000.000000,-642799999.999477,
198.000000,1318943.057057,8636336.787598,5907.380041,-14391.733089,100000000000000004764729344.000000,1000000.000000,-642799999.999466,
199.000000,1324843.817654,8621901.799627,5894.121132,-14478.285026,100000000000000004764729344.000000,1000000.000000,-642799999.999454,
200.000000,1330731.259085,8607380.132762,5880.741516,-14565.091317,100000000000000004764729344.000000,1000000.000000,-642799999.999442,
201.000000,1336605.260062,8592771.531324,5867.240027,-14652.154617,100000000000000004764729344.000000,1000000.000000,-642799999.999430,
