time,xpos,ypos,xvel,yvel,object_mass,time_limit,total_energy,
730.000000,-11566931.181355,15657370.290454,-21468.960147,7447.737338,100000000000000004764729344.000000,1000000.000000,-84600370.740739,
740.000000,-11781099.412151,15731145.131689,-21364.865361,7307.790315,100000000000000004764729344.000000,1000000.000000,-84600370.745312,
750.000000,-11994232.058644,15803537.082456,-21261.841587,7171.139262,100000000000000004764729344.000000,1000000.000000,-84600370.749558,
760.000000,-12206339.778934,15874578.512504,-21159.878320,7037.667125,100000000000000004764729344.000000,1000000.000000,-84600370.753503,
770.000000,-12417433.123206,15944300.648592,-21058.964498,6907.262308,100000000000000004764729344.000000,1000000.000000,-84600370.757171,
780.000000,-12627522.528623,16012733.627538,-20959.088593,6779.818368,100000000000000004764729344.000000,1000000.000000,-84600370.760585,
790.000000,-12836618.315053,16079906.546251,-20860.238685,6655.233720,100000000000000004764729344.000000,1000000.000000,-84600370.763765,
800.000000,-13044730.681518,16145847.508960,-20762.402537,6533.411369,100000000000000004764729344.000000,1000000.000000,-84600370.766729,
810.000000,-13251869.703303,16210583.671824,-20665.567648,6414.258656,100000000000000004764729344.000000,1000000.000000,-84600370.769493,
820.000000,-13458045.329641,16274141.285087,-20569.721316,6297.687018,100000000000000004764729344.000000,1000000.000000,-84600370.772074,
830.000000,-13663267.381917,16336545.732936,-20474.850681,6183.611770,100000000000000004764729344.000000,1000000.000000,-84600370.774484,
840.000000,-13867545.552320,16397821.571214,-20380.942772,6071.951895,100000000000000004764729344.000000,1000000.000000,-84600370.776738,
850.000000,-14070889.402920,16457992.563119,-20287.984541,5962.629850,100000000000000004764729344.000000,1000000.000000,-84600370.778846,
860.000000,-14273308.365082,16517081.713011,-20195.962901,5855.571382,100000000000000004764729344.000000,1000000.000000,-84600370.780820,
870.000000,-14474811.739217,16575111.298457,-20104.864753,5750.705356,100000000000000004764729344.000000,1000000.000000,-84600370.782669,
880.000000,-14675408.694805,16632102.900606,-20014.677014,5647.963598,100000000000000004764729344.000000,1000000.000000,-84600370.784402,
890.000000,-14875108.270671,16688077.433011,-19925.386639,5547.280738,100000000000000004764729344.000000,1000000.000000,-84600370.786027,
900.000000,-15073919.375477,16743055.168975,-19836.980643,5448.594073,100000000000000004764729344.000000,1000000.000000,-84600370.787553,
910.000000,-15271850.788406,16797055.767529,-19749.446120,5351.843431,100000000000000004764729344.000000,1000000.000000,-84600370.788986,
920.000000,-15468911.160019,16850098.298106,-19662.770253,5256.971044,100000000000000004764729344.000000,1000000.000000,-84600370.790333,
930.000000,-15665109.013253,16902201.263996,-19576.940335,5163.921431,100000000000000004764729344.000000,1000000.000000,-84600370.791599,
940.000000,-15860452.744552,16953382.624653,-19491.943778,5072.641288,100000000000000004764729344.000000,1000000.000000,-84600370.792791,
950.000000,-16054950.625104,17003659.816914,-19407.768121,4983.079379,100000000000000004764729344.000000,1000000.000000,-84600370.793912,
960.000000,-16248610.802180,17053049.775201,-19324.401041,4895.186442,100000000000000004764729344.000000,1000000.000000,-84600370.794969,
970.000000,-16441441.300544,17101568.950761,-19241.830361,4808.915088,100000000000000004764729344.000000,1000000.000000,-84600370.795965,
980.000000,-16633450.023947,17149233.329991,-19160.044057,4724.219720,100000000000000004764729344.000000,1000000.000000,-84600370.796905,
990.000000,-16824644.756665,17196058.451906,-19079.030259,4641.056447,100000000000000004764729344.000000,1000000.000000,-84600370.797791,
1000.000000,-17015033.165095,17242059.424803,-18998.777262,4559.383004,100000000000000004764729344.000000,1000000.000000,-84600370.798628,
1010.000000,-17204622.799387,17287250.942148,-18919.273522,4479.158677,100000000000000004764729344.000000,1000000.000000,-84600370.799418,
1020.000000,-17393421.095106,17331647.297743,-18840.507666,4400.344235,100000000000000004764729344.000000,1000000.000000,-84600370.800165,
1030.000000,-17581435.374922,17375262.400212,-18762.468488,4322.901863,100000000000000004764729344.000000,1000000.000000,-84600370.800871,
1040.000000,-17768672.850321,17418109.786826,-18685.144957,4246.795096,100000000000000004764729344.000000,1000000.000000,-84600370.801539,
1050.000000,-17955140.623316,17460202.636725,-18608.526212,4171.988762,100000000000000004764729344.000000,1000000.000000,-84600370.802172,
1060.000000,-18140845.688185,17501553.783552,-18532.601565,4098.448925,100000000000000004764729344.000000,1000000.000000,-84600370.802771,
1070.000000,-18325794.933195,17542175.727534,-18457.360502,4026.142830,100000000000000004764729344.000000,1000000.000000,-84600370.803338,
1080.000000,-18509995.142335,17582080.647042,-18382.792682,3955.038851,100000000000000004764729344.000000,1000000.000000,-84600370.803876,
1090.000000,-18693452.997044,17621280.409656,-18308.887935,3885.106448,100000000000000004764729344.000000,1000000.000000,-84600370.804386,
1100.000000,-18876175.077929,17659786.582750,-18235.636265,3816.316114,100000000000000004764729344.000000,1000000.000000,-84600370.804870,
1110.000000,-19058167.866475,17697610.443643,-18163.027844,3748.639336,100000000000000004764729344.000000,1000000.000000,-84600370.805329,
